coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,,02F7,4,,,WEB*,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ADV,4940,,DEPT,VAR,,,WEB,,ADVERTISING INTERNSHP,"Kelleher,Thomas A;",,,,
ADV,4941,,DEPT,VAR,,,WEB,,ADVANCED INTERNSHIP,"Kelleher,Thomas A;",,,,
MMC,3203,,7F27,3,,,WEB,,ETHICS/PROBS MASS COM,"Auguste,Kendra P;",,,,
MMC,3203,,745D,3,,,WEB,,ETHICS/PROBS MASS COM,"McDonald,Casey J;",,,,
MMC,3203,,7820,3,,,WEB,,ETHICS/PROBS MASS COM,"Robbert,Tiffany A;",,,,
AFA,2000,,7A94,3,,,WEB,,INTR AFRICAN AMER STU,"Adejumo,Vincent E;",,,,
AFA,2000,,8F76,3,,,WEB,,INTR AFRICAN AMER STU,STAFF;,,,,
AFA,3110,,7B07,3,,,WEB,,AFR AM/BLK ATLN THGHT,"Preston,Ashley R;",,,,
AFA,4940,,7D50,3,T,2-3,PUGH,210,AF AM INTERNSHIP,"Morini,Ryan S;",,,,
AFS,2002,,403B,3,MTWRF,4,MAT,0102,AFRICAN EXPERIENCE,STAFF;,,,,
AFS,4905,,7D19,5,MTWRF,1-4,ROG,0106,BEGINNING ZULU 1,STAFF;,,,,
AFS,4905,,DEPT,5,MTWRF,1-4,ROG,0106,BEGINNING ZULU 2,STAFF;,,,,
AFS,4905,,7F54,6,MTWRF,1-4,AND,0019,ADVANCED WOLOF,STAFF;,,,,
AKA,1130,,7G18,5,MTWRF,1-4,CBD,0210,BEGINNING AKAN 1,STAFF;,,,,
AKA,1131,,7G27,5,MTWRF,1-4,CBD,0210,BEGINNING AKAN 2,STAFF;,,,,
SWA,1130,,DEPT,5,MTWRF,1-4,MAEA,0327,BEGINNING SWAHILI 1,STAFF;,,,,
SWA,1131,,DEPT,5,MTWRF,1-4,MAEA,0327,BEGINNING SWAHILI 2,STAFF;,,,,
SWA,2200,,DEPT,3,MTWRF,1-4,MAT,0114,INTERMED SWAHILI 1,STAFF;,,,,
SWA,2201,,DEPT,3,MTWRF,1-4,MAT,0114,INTERMED SWAHILI 2,STAFF;,,,,
ABE,4949,,DEPT,VAR,TBA,,,,WK EXP BIOLOGICL ENGR,STAFF;,,,,
ABE,4949,,DEPT,VAR,TBA,,,,WK EXP BIOLOGICL ENGR,STAFF;,,,,
ABE,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
ABE,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
ABE,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
ABE,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
ABE,4905,,DEPT,VAR,TBA,,,,INDUSTRIAL HYGIENE,STAFF;,,,,
ABE,4949,,DEPT,VAR,TBA,,,,WK EXP BIOLOGICL ENGR,STAFF;,,,,
ABE,6645C,,72A3,3,TBA,,,,CROP SIMULATION,STAFF;,,,,
ABE,6645C,,DEPT,3,TBA,,,,CROP SIMULATION,STAFF;,,,,
ABE,6933,,DEPT,VAR,TBA,,,,SPECIAL TOPICS,STAFF;,,,,
ABE,6940,,DEPT,VAR,TBA,,,,SUPERVISED TEACHING,STAFF;,,,,
ABE,6971,,7008,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
ABE,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
ABE,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
ABE,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
ABE,7979,,7009,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
ABE,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
ABE,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
ABE,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
ABE,7980,,9388,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
ABE,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
EGN,4912,,DEPT,VAR,TBA,,,,ENGINEERING RESEARCH,STAFF;,,,,
AEC,3073,,DEPT,3,,,WEB,,INTERCUL COMMUNICA,"Suarez,Cecilia E;",,,,
AEC,3414,,DEPT,3,,,WEB,,LEADERSHIP DEVELOPMNT,"Sowcik,Matthew J;",,,,
AEC,6411,,0427,3,W,2-3,ROL,0306,ORG LEADERSHIP IN ALS,"Sowcik,Matthew J;",TO ARR,ANGE,,
AEC,6905,,DEPT,VAR,TBA,,,,PROB IN AG & EXT ED,STAFF;,,,,
AEC,6229,,DEPT,3,,,WEB,,LAB INSTRUCTION,"Thoron,Andrew C;",,,,
AEC,6229,,DEPT,3,,,WEB,,LAB INSTRUCTION,"Thoron,Andrew C;",,,,
AEC,6905,,DEPT,VAR,TBA,,,,PROB IN AG & EXT ED,STAFF;,,,,
AEC,3030C,,7H24,3,R,4-5,RNK,0110,EFFECT ORAL COMMUNICA,"Perry,Marian Linda;",F,4-5,ROL,0306
AEC,3030C,,7H33,3,R,4-5,RNK,0110,EFFECT ORAL COMMUNICA,"Perry,Marian Linda;",T,4-5,ROL,0306
AEC,3030C,,7058,3,R,4-5,RNK,0110,EFFECT ORAL COMMUNICA,"Perry,Marian Linda;",W,4-5,ROL,0306
AEC,3030C,,8C14,3,R,4-5,RNK,0110,EFFECT ORAL COMMUNICA,"Perry,Marian Linda;",F,2-3,ROL,0306
AEC,3030C,,8C16,3,R,4-5,RNK,0110,EFFECT ORAL COMMUNICA,"Perry,Marian Linda;",M,2-3,ROL,0306
AEC,3030C,,8C17,3,R,4-5,RNK,0110,EFFECT ORAL COMMUNICA,"Perry,Marian Linda;",M,4-5,ROL,0306
AEC,3033C,,7C49,3,,,WEB,,RESEARCH/BUSINES WRIT,"Perry,Marian Linda;",,,,
AEC,3313,,DEPT,3,,,WEB,,DEV & ROLE OF EXT ED,STAFF;,,,,
AEC,3410,,7231,3,M W,5,TUR,L005,FSTRING INNOV LDRSHIP,"Stedman,Nicole Lamee Perez;",F,4,ROL,0115
AEC,3410,,7235,3,M W,5,TUR,L005,FSTRING INNOV LDRSHIP,"Stedman,Nicole Lamee Perez;",F,3,ROL,0115
AEC,3410,,DEPT,3,M W,5,TUR,L005,FSTRING INNOV LDRSHIP,"Stedman,Nicole Lamee Perez;",F,2,ROL,0115
AEC,3410,,DEPT,3,M W,5,TUR,L005,FSTRING INNOV LDRSHIP,"Stedman,Nicole Lamee Perez;",F,5,ROL,0115
AEC,3413,,DEPT,3,,,WEB,,INTERPERSONAL LEADERS,"Stein,Megan Rebecca;",,,,
AEC,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,STAFF;,,,,
AEC,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
AEC,4915,,DEPT,VAR,TBA,,,,HONORS THESIS RESRCH,STAFF;,,,,
AEC,4941,,DEPT,VAR,TBA,,,,AGEDUCATIONINTERNSHP,"Barry,Debra Marie-Hope;Thoron,Andrew C;",,,,
AEC,4943,,DEPT,VAR,TBA,,,,LDRDSHP DEVELP INTERN,"Stedman,Nicole Lamee Perez;",,,,
AEC,4944,,DEPT,VAR,TBA,,,,COOP EXTEN INTERNSHIP,"Myers,Brian E;",,,,
AEC,4948,,DEPT,VAR,TBA,,,,AGRI COMMUNICA INTERN,"Telg,Ricky W;",,,,
AEC,6210,,DEPT,3,,,WEB,,DESGN EDUC PRGM IN AG,"Bunch,James Charles;",,,,
AEC,6210,,DEPT,3,,,WEB,,DESGN EDUC PRGM IN AG,"Bunch,James Charles;",,,,
AEC,6321,,DEPT,3,,,WEB,,LAND GRANT UNIV & GOV,"Barrick,R Kirby;",,,,
AEC,6321,,DEPT,3,,,WEB,,LAND GRANT UNIV & GOV,"Barrick,R Kirby;",,,,
AEC,6325,,DEPT,3,,,WEB,,HIST & PHILOS AG ED,"Barrick,R Kirby;",,,,
AEC,6325,,DEPT,3,,,WEB,,HIST & PHILOS AG ED,"Barrick,R Kirby;",,,,
AEC,6552,,DEPT,3,,,WEB,,EVAL PROGRAMS EXT ED,"Galindo,Sebastian;",,,,
AEC,6552,,DEPT,3,,,WEB,,EVAL PROGRAMS EXT ED,"Galindo,Sebastian;",,,,
AEC,6905,,DEPT,VAR,TBA,,,,PROB IN AG & EXT ED,STAFF;,,,,
AEC,6910,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
AEC,6912,,DEPT,VAR,TBA,,,,NONTHESIS RESEARCH,STAFF;,,,,
AEC,6912,,DEPT,VAR,TBA,,,,NONTHESIS RESEARCH,STAFF;,,,,
AEC,6932,,DEPT,3,T,2-3,ROL,0306,RESEARCH PROP & DEV,"Osborne,Edward Wayne;",R,3,ROL,0306
AEC,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
AEC,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
AEC,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
AEC,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
AOM,3734,,01G5,3,MTWRF,6,ROG,0211,IRRIGA PRACT FLORIDA,STAFF;,,,,
AOM,4521,,01GG,3,MTWRF,5,ROG,0211,INTRO TO BIOFUELS,STAFF;,,,,
AOM,4521,,DEPT,3,,,WEB,,INTRO TO BIOFUELS,STAFF;,,,,
AOM,4932,,DEPT,VAR,TBA,,,,"TROP AG,ENVIR,LIVLYHD","Palm,Cheryl A;",,,,
AOM,4941,,DEPT,VAR,TBA,,,,FULL TIME PRAC WORK,STAFF;,,,,
AOM,6932,,DEPT,6,TBA,,,,"TROP AG,ENVIR,LIVLYHD","Palm,Cheryl A;",,,,
AOM,6932,,027D,3,MTWRF,5,ROG,0211,ADV. INTRO TO BIOFUEL,STAFF;,,,,
AOM,4941,,DEPT,VAR,TBA,,,,FULL TIME PRAC WORK,STAFF;,,,,
AOM,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
AOM,4941,,DEPT,VAR,TBA,,,,FULL TIME PRAC WORK,STAFF;,,,,
ALS,4404,,DEPT,VAR,TBA,,,,INTERNATIONAL STUDIES,"Gillett-Kaufman,Jennifer Lynn;Kaufman,Phillip Edward;",,,,
ALS,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
ALS,4915,,DEPT,VAR,TBA,,,,HONORS THESIS RESRCH,STAFF;,,,,
ALS,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
ALS,4915,,DEPT,VAR,TBA,,,,HONORS THESIS RESRCH,STAFF;,,,,
ALS,4932,,4113,2,TBA,,,,PLANT COM FL PAN LAB,"Miller,Deborah Louise;Thetford,Mack;",,,,
ALS,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
ALS,4915,,DEPT,VAR,TBA,,,,HONORS THESIS RESRCH,STAFF;,,,,
ALS,5905,,DEPT,3,TBA,,,,RESRCH IMMERSION EXPE,"Gloaguen,Romain Michel;Rowland,Diane L;",,,,
ALS,5905,,DEPT,4,TBA,,,,RESRCH IMMERSION EXPE,"Gloaguen,Romain Michel;Rowland,Diane L;",,,,
ALS,5932,,74EG,1,TBA,,,,ADV PLANT COM FL PANH,"Miller,Deborah Louise;Thetford,Mack;",,,,
ALS,5932,,74EH,2,TBA,,,,ADV PLANT COM FL LAB,"Miller,Deborah Louise;Thetford,Mack;",,,,
ALS,5932,,DEPT,1,TBA,,,,ADV STAT ANAL TECHNI,"Vansanten,Edzard;",,,,
ALS,6943,,DEPT,3,TBA,,,,INTERNSHIP,"Hodges,Amanda C;",,,,
AGR,3303,,0598,3,MTWRF,2,MCCC,0100,GENETICS,STAFF;,,,,
AGR,4900,,DEPT,VAR,TBA,,,,SUPERVISED EXTENSION,STAFF;,,,,
AGR,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,STAFF;,,,,
AGR,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
AGR,4932,,DEPT,VAR,TBA,,,,AGRONOMY TOPICS,STAFF;,,,,
AGR,6905,,DEPT,VAR,TBA,,,,AGRONOMIC PROBLEMS,STAFF;,,,,
AGR,6933,,DEPT,1,,,WEB*,,GRAD AGROECOLOGY SEM,STAFF;,,,,
AGR,6940,,DEPT,VAR,MTWRF,3,MCCB,3124,SUPERVISED TEACHING,STAFF;,,,,
AGR,6971,,DEPT,VAR,,,WEB*,,MASTERS RESEARCH,STAFF;,,,,
AGR,7979,,0044,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
AGR,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
PLS,4941,,DEPT,VAR,TBA,,,,PRACTICAL WORK EXPER,STAFF;,,,,
AGR,4900,,DEPT,VAR,TBA,,,,SUPERVISED EXTENSION,STAFF;,,,,
AGR,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,STAFF;,,,,
AGR,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
AGR,4915,,DEPT,VAR,TBA,,,,HONORS THESIS RESRCH,STAFF;,,,,
AGR,4932,,DEPT,VAR,TBA,,,,AGRONOMY TOPICS,STAFF;,,,,
AGR,6905,,DEPT,2,,,WEB*,,AGROECOLOGY PROJECT,STAFF;,,,,
AGR,6933,,DEPT,1,TBA,,,,GRAD AGROECOLOGY SEM,STAFF;,,,,
AGR,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
AGR,7979,,407A,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
AGR,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
PLS,3004C,,4A58,3,,,WEB,,PRINCIP PLANT SCIENCE,"Estrada,James Anthony;",,,,
PLS,3004C,,DEPT,3,,,WEB,,PRINCIP PLANT SCIENCE,"Estrada,James Anthony;",,,,
PLS,4941,,DEPT,VAR,TBA,,,,PRACTICAL WORK EXPER,STAFF;,,,,
AGR,4900,,DEPT,VAR,TBA,,,,SUPERVISED EXTENSION,STAFF;,,,,
AGR,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL STUDY,STAFF;,,,,
AGR,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
AGR,4915,,DEPT,VAR,TBA,,,,HONORS THESIS RESRCH,STAFF;,,,,
AGR,4932,,DEPT,VAR,TBA,,,,AGRONOMY TOPICS,STAFF;,,,,
AGR,6237C,,7D14,3,TBA,,,,RES TECH FORAGE EVAL,"Sollenberger,Lynn E;",,,,
AGR,6237C,,DEPT,3,TBA,,,,RES TECH FORAGE EVAL,"Sollenberger,Lynn E;",,,,
AGR,6905,,DEPT,VAR,TBA,,,,AGRONOMIC PROBLEMS,STAFF;,,,,
AGR,6905,,DEPT,2,,,WEB*,,AGROECOLOGY PROJECT,STAFF;,,,,
AGR,6932,,DEPT,VAR,TBA,,,,TOPICS IN AGRONOMY,STAFF;,,,,
AGR,6932,,DEPT,VAR,TBA,,,,TOPICS IN AGRONOMY,STAFF;,,,,
AGR,6933,,DEPT,1,TBA,,,,GRAD AGRON SEMINAR,STAFF;,,,,
AGR,6933,,DEPT,1,TBA,,,,GRAD AGRON SEMINAR,STAFF;,,,,
AGR,6933,,DEPT,1,,,WEB*,,GRAD AGROECOLOGY SEM,STAFF;,,,,
AGR,6940,,DEPT,VAR,TBA,,,,SUPERVISED TEACHING,STAFF;,,,,
AGR,6940,,DEPT,VAR,TBA,,,,SUPERVISED TEACHING,STAFF;,,,,
AGR,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Brym,Zachary Thomas;",,,,
AGR,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
AGR,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Vendramini,Joao Mauricio Bueno;",,,,
AGR,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Gettys,Lyn A;Laughinghouse,Haywood D,IV;",,,,
AGR,6971,,DEPT,VAR,,,WEB*,,MASTERS RESEARCH,STAFF;,,,,
AGR,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,"Mccray,James M;Odero,Dennis C;Sandhu,Hardev S;",,,,
AGR,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
AGR,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Laughinghouse,Haywood D,IV;",,,,
AGR,7979,,76B4,VAR,TBA,,,,ADVANCED RESEARCH,"Odero,Dennis C;Sandhu,Hardev S;",,,,
AGR,7979,,77CE,VAR,TBA,,,,ADVANCED RESEARCH,"Brym,Zachary Thomas;",,,,
AGR,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,"Mulvaney,Michael J;",,,,
AGR,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,"Gettys,Lyn A;",,,,
AGR,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
AGR,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
PLS,4941,,DEPT,VAR,TBA,,,,PRACTICAL WORK EXPER,STAFF;,,,,
ANS,4231,,DEPT,1,TBA,,,,PRACTICUM HORSE MANAG,"Callaham,Justin W;",,,,
ANS,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
ANS,4941,,DEPT,VAR,TBA,,,,FULL-TIME PRAC WORK,STAFF;,,,,
ANS,2005,,4E00,3,MTWR,2-3,ANS,0102,ANIMALS-HUMAN HISTORY,"Oltenacu,Pascal A;",,,,
ANS,3384C,,4G04,3,MTW,2-3,ANS,0151,GENETICS DOMEST ANIM,"Mateescu,Raluca;",,,,
ANS,4231,,DEPT,1,TBA,,,,PRACTICUM HORSE MANAG,"Callaham,Justin W;",,,,
ANS,4382,,4G49,2,,,WEB,,EQUINE GENETICS,"Brooks,Samantha Ann;",,,,
ANS,4905,,DEPT,VAR,TBA,,,,PROBS IN ANIMAL SCI,STAFF;,,,,
ANS,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
ANS,4941,,DEPT,VAR,TBA,,,,FULL-TIME PRAC WORK,STAFF;,,,,
ANS,6905,,DEPT,VAR,TBA,,,,PROB IN ANIMAL SCI,"Brooks,Samantha Ann;",,,,
ANS,3006,,7G42,3,M W F,1,ANS,0156,INTRO ANIMAL SCIENCE,"Thrift,Todd A;",,,,
ANS,3006L,,7G35,1,T,4-5,ANS,0151,INTRO TO AN SCI LAB,"Imler,Amie M;Mendes,Kyle M;",,,,
ANS,3006L,,7G38,1,T,6-7,ANS,0151,INTRO TO AN SCI LAB,"Imler,Amie M;Mendes,Kyle M;",,,,
ANS,3440,,7H74,4,MTWR,2,ANS,0156,PRIN ANIMAL NUTRITION,"Ferraretto,Luiz Felipe;",,,,
ANS,4905,,DEPT,VAR,TBA,,,,PROBS IN ANIMAL SCI,STAFF;,,,,
ANS,4911,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
ANS,4941,,DEPT,VAR,TBA,,,,FULL-TIME PRAC WORK,"Imler,Amie M;",,,,
ANS,6637,,7A39,3,T R,2-5,ANSC,0201,QUANT MIC RISK ASSESS,"Havelaar,Arie Hendrik;",,,WEB*,
ANS,6905,,DEPT,VAR,TBA,,,,PROB IN ANIMAL SCI,STAFF;,,,,
ANS,6905,,DEPT,VAR,TBA,,,,PROB IN ANIMAL SCI,STAFF;,,,,
ANS,6905,,DEPT,VAR,TBA,,,,PROB IN ANIMAL SCI,STAFF;,,,,
ANS,6910,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
ANS,6910,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
ANS,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
ANG,6905,,DEPT,VAR,TBA,,,,INDIVIDUAL WORK,STAFF;,,,,
ANG,6910,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
ANG,6915,,DEPT,VAR,TBA,,,,RESEARCH PROJECTS,STAFF;,,,,
ANG,6945,,DEPT,VAR,TBA,,,,INTERNSHIP IN ANTHRO,STAFF;,,,,
ANG,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
ANG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
ANG,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
ANT,3141,,05AA,3,,,WEB,,DEV OF WORLD CIVILIZ,STAFF;,,,,
ANT,3451,,03A8,3,MTWRF,4,TUR,L005,RACE AND RACISM,STAFF;,,,,
ANT,3467,,0494,3,MTWRF,5,TUR,L011,FOOD AND CULTURE,STAFF;,,,,
ANT,3514C,,03D9,4,,,WEB,,INTRO BIOLOG ANTHRO,STAFF;,,,,
ANT,3514C,,0496,4,MTWRF,2,LIT,0121,INTRO BIOLOG ANTHRO,STAFF;,T,3,TUR,B304
ANT,3514C,,0498,4,MTWRF,2,LIT,0121,INTRO BIOLOG ANTHRO,STAFF;,W,3,TUR,B304
ANT,3514C,,0499,4,MTWRF,2,LIT,0121,INTRO BIOLOG ANTHRO,STAFF;,R,3,TUR,B304
ANT,3520,,0493,3,MTWRF,3,TUR,L005,SKELETON KEY FORENSIC,STAFF;,,,,
ANT,3620,,0099,3,MTWRF,3,LIT,0113,LANGUAGE & CULTURE,STAFF;,,,,
ANT,3620,,05AD,3,,,WEB,,LANGUAGE & CULTURE,STAFF;,,,,
ANT,4180L,,DEPT,1,TBA,,,,LAB TRAINING ARCHEOL,"Davidson,James M;",,,,
ANT,4180L,,DEPT,3,TBA,,,,LAB TRAINING ARCHEOL,"Davidson,James M;",,,,
ANT,4462,,05AG,3,,,WEB,,CULTURE AND MEDICINE,STAFF;,,,,
ANT,4905,,DEPT,VAR,TBA,,,,INDIVIDUAL WORK,STAFF;,,,,
ANT,4907,,DEPT,VAR,TBA,,,,RESEARCH PROJECTS,STAFF;,,,,
ANT,4911,,DEPT,VAR,TBA,,,,UG RES ANTHROPOLOGY,STAFF;,,,,
ANT,4914,,DEPT,3,TBA,,,,DEPARTMENTAL HONORS,STAFF;,,,,
ANT,4930,,DEPT,5,TBA,,,,FIELD SESSION IN ARCH,"Davidson,James M;",,,,
ANT,4931,,03BA,3,,,WEB,,CAPSTONE IN ANTHRO,STAFF;,,,,
ANG,6905,,DEPT,VAR,TBA,,,,INDIVIDUAL WORK,STAFF;,,,,
ANG,6910,,DEPT,VAR,TBA,,,,SUPERVISED RESEARCH,STAFF;,,,,
ANG,6915,,DEPT,VAR,TBA,,,,RESEARCH PROJECTS,STAFF;,,,,
ANG,6945,,DEPT,VAR,TBA,,,,INTERNSHIP IN ANTHRO,STAFF;,,,,
ANG,6971,,DEPT,VAR,TBA,,,,MASTERS RESEARCH,STAFF;,,,,
ANG,7979,,DEPT,VAR,TBA,,,,ADVANCED RESEARCH,STAFF;,,,,
ANG,7980,,DEPT,VAR,TBA,,,,DOCTORAL RESEARCH,STAFF;,,,,
ANT,2000,,402D,3,,,WEB,,GENERAL ANTHROPOLOGY,STAFF;,,,,
ANT,2000,,4104,3,MTWRF,4,TUR,L005,GENERAL ANTHROPOLOGY,STAFF;,,,,
ANT,2140,,4H78,3,,,WEB,,INTRO WORLD ARCHAEOLO,STAFF;,,,,
ANT,2140,,4H81,3,MTWRF,2,LIT,0113,INTRO WORLD ARCHAEOLO,STAFF;,T,3,TUR,B357
ANT,2140,,4H82,3,MTWRF,2,LIT,0113,INTRO WORLD ARCHAEOLO,STAFF;,W,3,TUR,B357
ANT,2140,,4H83,3,MTWRF,2,LIT,0113,INTRO WORLD ARCHAEOLO,STAFF;,R,3,TUR,B357
ANT,2301,,4106,3,MTWRF,2,PUGH,170,HUMAN SEXUALITY & CUL,STAFF;,,,,
ANT,2410,,4H84,3,,,WEB,,CULTURAL ANTHROPOLOGY,STAFF;,,,,
ANT,2410,,4107,3,MTWRF,3,CSE,E121,CULTURAL ANTHROPOLOGY,STAFF;,,,,
